[2024-09-06 17:29:23,576][hydra.utils][INFO] - Instantiating the Trainer
[2024-09-06 17:29:23,867][hydra.utils][INFO] - Starting training!
[2024-09-06 17:29:45,391][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-06 17:29:46,864][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-06 17:29:46,901][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpso6hp8ra
[2024-09-06 17:29:46,901][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpso6hp8ra/_remote_module_non_scriptable.py
[2024-09-06 17:29:48,715][hydra.utils][INFO] - Passing scaler from datamodule to model <None>
[2024-09-06 17:29:48,716][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-09-06 17:29:48,716][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2024-09-06 17:29:48,718][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-09-06 17:29:48,721][hydra.utils][INFO] - TensorBoard Logger logs into <{cfg.logging.tensorboard.save_dir}>!
[2024-09-06 17:29:48,730][hydra.utils][INFO] - Instantiating the Trainer
[2024-09-06 17:29:49,036][hydra.utils][INFO] - Starting training!
[2024-09-06 17:30:23,526][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-06 17:30:24,928][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-06 17:30:24,987][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpl_3r1pd2
[2024-09-06 17:30:24,987][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpl_3r1pd2/_remote_module_non_scriptable.py
[2024-09-06 17:30:26,969][hydra.utils][INFO] - Passing scaler from datamodule to model <None>
[2024-09-06 17:30:26,982][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-09-06 17:30:26,983][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2024-09-06 17:30:26,984][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-09-06 17:30:26,989][hydra.utils][INFO] - TensorBoard Logger logs into <{cfg.logging.tensorboard.save_dir}>!
[2024-09-06 17:30:27,003][hydra.utils][INFO] - Instantiating the Trainer
[2024-09-06 17:30:27,274][hydra.utils][INFO] - Starting training!
[2024-09-09 11:31:09,851][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-09 11:31:19,200][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
