hof_id
100_1974317_2
301-pttcn-1
171_2105278_[copca2bmimb]
2_g25dmbs
249-zaf
7_907057_sbds_tpma_gf
152_2077917_pfc-78
162_2076404_pyia_298k
84_1867927_1b
100_1974318_3
205l-et
128_2010570_pfc-33tea
263-bptca-2_hklf5
23_1424087_1_1d
182_ihof-3
258-hof-lifm-11
142_2031633_8pcom-methanol
102_1970867_53dmso
45_1555042_1b
149_1962984_bpmcz-p2
307-mthof-1
5-9
37_1541093-ix
148_1940053_seu-2
119_1974656_dy4
87_1902588_tcpp-4dmf
305-hof-45
169_2083181_re6-hof-1as
48_1846104_25
85_1888690_ecut-hof-30
108_1950449_zrt-1-
22_1044788_hof-6
175_1916808_345
73_1908801_monomer2
9_1427360_hof-2-s-pea
152_2077900_pfc-77
82_1888148_br3-1
2_g34dmbs
178_ptc-235
15-jesse01_sq
193-dap-hof-1
13-2d1_mebz
2262206854
34_1563351_cpsm-1
2_g4ibs22
6_918144_2as_tpma_tmbd-pos1b
55_1837140_1’-10min
12_trispyrazole1
54_1857531_pyclose
53_1576297_1
2_g4cbs25
294-2_5
1_13
3_822585_2dmf4meohs2b
243-hof-fju-39
23_1424089_1_2d1
42_1579889_phtcz-1
295-upc-hof-6
314-4-br
45_1555045_2a
187_3d-benzene-pbenzoquinone
2_g2mbs059
54_1857529_pyopen⊃isoproh
55_1837135_2
37_1541085-i
2002164359m-tpy
87_1902587_tcpp-2dmf
192hof-hapcp
82_1888147_br-1
102_1970871_83dmsosolvent
2_g4cbs0513
187_2d-s
86_1865476_cpos-5_273k
186_pfc-73-cu
293-abiphen
1_5
4-hof-1
2_g4tbbs
139_2052951-fju-200
182_ihof-1
184_cfa-20-tp-dmso
270-fju-57
73_1908802_hcof-3
49_1815227_hof3b
293-bbiphen_2d
13-2d2_dmaa
5-7
294-1_4
53_1576296_2
118_1991980_pentamof-2
16_1057513_hof-5
92_1879989_mhof-3
160_2056904_tpe2tph
205l-h
6_880742_2as-tpmatcbd-pos1a
219tri-pmdi-br
179-hof-30
89_1916384_1
175_2062609_26
125_1892511_hma2[bi2pda42water]4water
2_g4bbs13
13-2d2_nmp
28_1478358_t2-_240k
187_3d-thf
63_1866018_sq-2tfa
80_1913385_hof-12
5-12
20_1472884_iiserp-hof1
143_1980599_smof-asfsix-1
28_1478365_t1c5h1234
129_1984229_upc-h8
34_1563352_cpsm-2
167_pfc-55
33_1567204_hof-10
7_907058_sbds_tpma_o_chlorotoluene
142_2031628_8pcom-dcm
187_1d-c
168_2087503_hof-30p
1_3
51_1819736_tcf1_open
145_2000806_pfc-26
2252257051hof-fju-37
263-tptca-1
190_hof-101-nh2
201-hof-fju-2dmso
57_1851025_tcpp-13-dpp
212-hcof6
94_1885768_upc-h4
2_g4ibs26
2031dso42]tba4
48_1846105_23
30_1531826_12c4h8o2
294-4_bpy_dmso_dcm
2033
67_1891045_imd-hbc_260k
148_1940052_seu-1
184_cfa-20-tp
168_2087505_hof-30a
75_1889092_1a6pf6
293-s3_4
275-cage-6-cooh_nmp_solvate
2_g4tbbs02527
35_1573633_hof-11
254--hcof-bf3-08
114-1686051-gd-b
1_15
282-cp-py-1
106_1904338_pfc-11
56_1833798_1dy4
293-cbiphenyl
187_1d-w
32_1540572_cphat-1a
116_1977891_abtpa-1
160_2056902_tpe2bpy
111_1850974_1-298
258-hof-lifm-7
259-etta_cl1br3
110_1981967_g4hspb[rubpy3]
138_2043142_2d-83
2_g4mbs0516
102_1970872_9
